[2026-01-27 12:53:49] ColDense Individual Sample Performance
================================================================
Format: Category | Sample_Name | M | K | N | NNZ | WindowNum | BlockNum | FillRate | Performance(us)
================================================================
Bai | af23560 | 23568 | 23568 | 128 | 484256 | 1473 | 8779 | 0.22 | 246.029846
Bai | bfwa398 | 400 | 400 | 128 | 3678 | 25 | 116 | 0.12 | 12.440497
Bai | bfwa62 | 64 | 64 | 128 | 450 | 4 | 12 | 0.15 | 5.840234
Bai | bfwa782 | 784 | 784 | 128 | 7514 | 49 | 247 | 0.12 | 20.700829
Bai | bfwb398 | 400 | 400 | 128 | 1654 | 25 | 66 | 0.1 | 6.680267
Bai | bfwb62 | 64 | 64 | 128 | 202 | 4 | 7 | 0.11 | 4.600184
Bai | bfwb782 | 784 | 784 | 128 | 3382 | 49 | 131 | 0.1 | 8.280332
Bai | bwm200 | 208 | 208 | 128 | 796 | 13 | 38 | 0.08 | 6.340254
Bai | bwm2000 | 2000 | 2000 | 128 | 7996 | 125 | 375 | 0.08 | 16.060642
Bai | cdde1 | 976 | 976 | 128 | 4681 | 61 | 237 | 0.08 | 12.480499
Bai | cdde2 | 976 | 976 | 128 | 4681 | 61 | 237 | 0.08 | 12.300492
Bai | cdde3 | 976 | 976 | 128 | 4681 | 61 | 237 | 0.08 | 12.540502
Bai | cdde4 | 976 | 976 | 128 | 4681 | 61 | 237 | 0.08 | 12.400496
Bai | cdde5 | 976 | 976 | 128 | 4681 | 61 | 237 | 0.08 | 12.520501
Bai | cdde6 | 976 | 976 | 128 | 4681 | 61 | 237 | 0.08 | 12.220489
Bai | ck104 | 112 | 112 | 128 | 992 | 7 | 20 | 0.19 | 5.700228
Bai | ck400 | 400 | 400 | 128 | 2860 | 25 | 74 | 0.15 | 7.320293
Bai | ck656 | 656 | 656 | 128 | 3884 | 41 | 122 | 0.12 | 8.840354
Bai | cryg10000 | 10000 | 10000 | 128 | 49699 | 625 | 2493 | 0.08 | 73.622948
Bai | cryg2500 | 2512 | 2512 | 128 | 12349 | 157 | 621 | 0.08 | 23.440937
