[2026-04-24 14:39:19] | Category: Bai | Sample: bfwb782 | Dims(M,K,N,NNZ): 784,784,128,3382 | Perf: 13.200264 | Verify: SUCCESS

[2026-04-24 14:39:29] | Category: Bai | Sample: cdde6 | Dims(M,K,N,NNZ): 976,976,128,4681 | Perf: 16.160324 | Verify: SUCCESS

[2026-04-24 14:39:56] | Category: Bai | Sample: mhd4800a | Dims(M,K,N,NNZ): 4800,4800,128,102252 | Perf: 65.041298 | Verify: FAILED

[2026-04-24 14:40:11] | Category: Bai | Sample: rdb3200l | Dims(M,K,N,NNZ): 3200,3200,128,18880 | Perf: 47.140942 | Verify: SUCCESS

[2026-04-25 13:58:19] | Category: Bai | Sample: bfwb782 | Dims(M,K,N,NNZ): 784,784,128,3382 | Perf: 13.200264 | Verify: SUCCESS

[2026-04-25 13:58:29] | Category: Bai | Sample: cdde6 | Dims(M,K,N,NNZ): 976,976,128,4681 | Perf: 15.480309 | Verify: SUCCESS

[2026-04-25 13:58:55] | Category: Bai | Sample: mhd4800a | Dims(M,K,N,NNZ): 4800,4800,128,102252 | Perf: 65.001297 | Verify: FAILED

[2026-04-25 13:59:11] | Category: Bai | Sample: rdb3200l | Dims(M,K,N,NNZ): 3200,3200,128,18880 | Perf: 47.500950 | Verify: SUCCESS

[2026-04-25 16:24:40] | Category: Bai | Sample: af23560 | Dims(M,K,N,NNZ): 23568,23568,128,484256 | Perf: 272.765442 | Verify: FAILED

[2026-04-25 16:24:48] | Category: Bai | Sample: bfwa398 | Dims(M,K,N,NNZ): 400,400,128,3678 | Perf: 10.600212 | Verify: SUCCESS

[2026-04-25 16:24:55] | Category: Bai | Sample: bfwa62 | Dims(M,K,N,NNZ): 64,64,128,450 | Perf: 6.740135 | Verify: SUCCESS

[2026-04-25 16:25:04] | Category: Bai | Sample: bfwa782 | Dims(M,K,N,NNZ): 784,784,128,7514 | Perf: 15.380307 | Verify: SUCCESS

[2026-04-25 16:25:12] | Category: Bai | Sample: bfwb398 | Dims(M,K,N,NNZ): 400,400,128,1654 | Perf: 9.680194 | Verify: SUCCESS

[2026-04-25 16:25:19] | Category: Bai | Sample: bfwb62 | Dims(M,K,N,NNZ): 64,64,128,202 | Perf: 7.000140 | Verify: SUCCESS

