[2026-05-02 16:24:23] ColDense Individual Sample Performance
================================================================
Format: Category | Sample_Name | M | K | N | NNZ | WindowNum | BlockNum | FillRate | Performance(us)
================================================================
BigData | GL7d14 | 171376 | 47280 | 128 | 1831183 | 10711 | 118936 | 15.36 | 3013.020264
BigData | GL7d23 | 105056 | 349456 | 128 | 2695430 | 6566 | 171062 | 15.36 | 4289.445801
BigData | crashbasis | 160000 | 160000 | 128 | 1750416 | 10000 | 59896 | 28.16 | 1535.050659
BigData | kron_g500-logn17 | 131072 | 131072 | 128 | 5114375 | 8192 | 295864 | 17.92 | 7466.249023
BigData | kron_g500-logn18 | 262144 | 262144 | 128 | 10583222 | 16384 | 627338 | 17.92 | 15823.076172
BigData | m133-b3 | 200208 | 200208 | 128 | 800800 | 12513 | 44037 | 17.92 | 1141.342773
BigData | majorbasis | 160000 | 160000 | 128 | 1750416 | 10000 | 59896 | 28.16 | 1542.570801
BigData | mk13-b5 | 135136 | 270272 | 128 | 810810 | 8446 | 44403 | 17.92 | 1138.202759
BigData | n4c6-b10 | 132416 | 186560 | 128 | 1456422 | 8276 | 80650 | 17.92 | 2041.240845
BigData | n4c6-b7 | 163216 | 104128 | 128 | 1305720 | 10201 | 69897 | 17.92 | 1776.955566
BigData | n4c6-b8 | 198896 | 163216 | 128 | 1790055 | 12431 | 97119 | 17.92 | 2467.329346
BigData | n4c6-b9 | 186560 | 198896 | 128 | 1865580 | 11660 | 102347 | 17.92 | 2592.111816
BigData | neos1 | 131584 | 133488 | 128 | 599590 | 8224 | 31083 | 20.48 | 810.656189
BigData | neos2 | 132576 | 134128 | 128 | 685087 | 8286 | 31574 | 20.48 | 823.276489
BigData | sgpf5y6 | 246080 | 312544 | 128 | 831976 | 15380 | 60151 | 12.8 | 1556.231079
BigData | soc-sign-epinions | 131840 | 131840 | 128 | 841372 | 8240 | 50719 | 15.36 | 1353.607056
BigData | sx-superuser | 194096 | 194096 | 128 | 924886 | 12131 | 62564 | 15.36 | 1667.113281
BigData | sx-superuser_A2Q | 194096 | 194096 | 128 | 403578 | 12131 | 30551 | 12.8 | 847.436951
BigData | sx-superuser_C2A | 194096 | 194096 | 128 | 289487 | 12131 | 23727 | 12.8 | 669.473389
BigData | sx-superuser_C2Q | 194096 | 194096 | 128 | 291030 | 12131 | 25231 | 12.8 | 703.994080
BigData | thermomech_TC | 102160 | 102160 | 128 | 406858 | 6385 | 28294 | 15.36 | 760.415222
BigData | thermomech_TK | 102160 | 102160 | 128 | 406858 | 6385 | 28294 | 15.36 | 760.155212
BigData | torso1 | 116160 | 116160 | 128 | 8516500 | 7260 | 63705 | 133.12 | 1618.692383
BigData | torso2 | 115968 | 115968 | 128 | 1033473 | 7248 | 28992 | 35.84 | 750.895020

