[2026-04-30 11:12:21] ColDense Individual Sample Performance
================================================================
Format: Category | Sample_Name | M | K | N | NNZ | WindowNum | BlockNum | FillRate | Performance(us)
================================================================
Gset | G10 | 800 | 800 | 256 | 19176 | 50 | 811 | 0.09 | 85.701714
Gset | G11 | 800 | 800 | 256 | 1600 | 50 | 99 | 0.06 | 11.680234
Gset | G12 | 800 | 800 | 256 | 1600 | 50 | 100 | 0.06 | 11.900238
Gset | G13 | 800 | 800 | 256 | 1600 | 50 | 125 | 0.05 | 14.060281
Gset | G18 | 800 | 800 | 256 | 4694 | 50 | 252 | 0.07 | 20.040401
Gset | G19 | 800 | 800 | 256 | 4661 | 50 | 245 | 0.07 | 19.660393
Gset | G20 | 800 | 800 | 256 | 4672 | 50 | 250 | 0.07 | 20.000401
Gset | G21 | 800 | 800 | 256 | 4667 | 50 | 251 | 0.07 | 20.280405
Gset | G27 | 2000 | 2000 | 256 | 19990 | 125 | 1222 | 0.06 | 121.422432
Gset | G28 | 2000 | 2000 | 256 | 19990 | 125 | 1228 | 0.06 | 125.342506
Gset | G29 | 2000 | 2000 | 256 | 19990 | 125 | 1219 | 0.06 | 121.262428
Gset | G30 | 2000 | 2000 | 256 | 19990 | 125 | 1219 | 0.06 | 119.702393
Gset | G31 | 2000 | 2000 | 256 | 19990 | 125 | 1217 | 0.06 | 122.542450
Gset | G32 | 2000 | 2000 | 256 | 4000 | 125 | 276 | 0.06 | 22.380447
Gset | G33 | 2000 | 2000 | 256 | 4000 | 125 | 256 | 0.06 | 20.980419
Gset | G34 | 2000 | 2000 | 256 | 4000 | 125 | 276 | 0.06 | 22.680454
Gset | G39 | 2000 | 2000 | 256 | 11778 | 125 | 697 | 0.07 | 43.740875
Gset | G40 | 2000 | 2000 | 256 | 11766 | 125 | 704 | 0.07 | 46.200924
Gset | G41 | 2000 | 2000 | 256 | 11785 | 125 | 700 | 0.07 | 43.780876
Gset | G42 | 2000 | 2000 | 256 | 11779 | 125 | 692 | 0.07 | 45.020901
Gset | G56 | 5008 | 5008 | 256 | 12498 | 313 | 931 | 0.05 | 91.021820
Gset | G57 | 5008 | 5008 | 256 | 10000 | 313 | 638 | 0.06 | 42.920860
Gset | G59 | 5008 | 5008 | 256 | 29570 | 313 | 1823 | 0.06 | 105.602112
Gset | G6 | 800 | 800 | 256 | 19176 | 50 | 810 | 0.09 | 82.001640
Gset | G61 | 7008 | 7008 | 256 | 17148 | 438 | 1272 | 0.05 | 129.122589
Gset | G62 | 7008 | 7008 | 256 | 14000 | 438 | 888 | 0.06 | 57.081142
Gset | G64 | 7008 | 7008 | 256 | 41459 | 438 | 2572 | 0.06 | 150.983017
Gset | G65 | 8000 | 8000 | 256 | 16000 | 500 | 1100 | 0.06 | 68.701370
Gset | G66 | 9008 | 9008 | 256 | 18000 | 563 | 1148 | 0.06 | 74.661491
Gset | G67 | 10000 | 10000 | 256 | 20000 | 625 | 1276 | 0.06 | 84.821693
Gset | G7 | 800 | 800 | 256 | 19176 | 50 | 812 | 0.09 | 83.541672
Gset | G8 | 800 | 800 | 256 | 19176 | 50 | 805 | 0.09 | 82.981659
Gset | G9 | 800 | 800 | 256 | 19176 | 50 | 814 | 0.09 | 83.141663

[2026-04-30 11:19:56] ColDense Individual Sample Performance
================================================================
Format: Category | Sample_Name | M | K | N | NNZ | WindowNum | BlockNum | FillRate | Performance(us)
================================================================
HB | 1138_bus | 1152 | 1152 | 256 | 2596 | 72 | 152 | 0.07 | 14.840297
HB | 494_bus | 496 | 496 | 256 | 1080 | 31 | 68 | 0.06 | 9.600192
HB | 662_bus | 672 | 672 | 256 | 1568 | 42 | 105 | 0.06 | 15.200304
HB | 685_bus | 688 | 688 | 256 | 1967 | 43 | 100 | 0.08 | 11.860237
HB | arc130 | 144 | 144 | 256 | 1282 | 9 | 30 | 0.17 | 15.660314
HB | bcsstk01 | 48 | 48 | 256 | 224 | 3 | 6 | 0.15 | 11.840237
HB | bcsstk02 | 80 | 80 | 256 | 2211 | 5 | 15 | 0.58 | 10.620213
HB | bcsstk03 | 112 | 112 | 256 | 376 | 7 | 13 | 0.11 | 7.660153
HB | bcsstk04 | 144 | 144 | 256 | 1890 | 9 | 26 | 0.28 | 10.500210
HB | bcsstk05 | 160 | 160 | 256 | 1288 | 10 | 21 | 0.24 | 9.580192
HB | bcsstk06 | 432 | 432 | 256 | 4140 | 27 | 76 | 0.21 | 11.340227
HB | bcsstk07 | 432 | 432 | 256 | 4140 | 27 | 76 | 0.21 | 11.580232
HB | bcsstk08 | 1088 | 1088 | 256 | 7017 | 68 | 235 | 0.12 | 14.800296
HB | bcsstk09 | 1088 | 1088 | 256 | 9760 | 68 | 198 | 0.19 | 16.700335
HB | bcsstk10 | 1088 | 1088 | 256 | 11578 | 68 | 226 | 0.2 | 20.540411
HB | bcsstk11 | 1488 | 1488 | 256 | 17857 | 93 | 275 | 0.25 | 20.980419
HB | bcsstk12 | 1488 | 1488 | 256 | 17857 | 93 | 275 | 0.25 | 20.720415
HB | bcsstk13 | 2016 | 2016 | 256 | 42943 | 126 | 675 | 0.25 | 59.281185
HB | bcsstk14 | 1808 | 1808 | 256 | 32630 | 113 | 438 | 0.29 | 34.640694
HB | bcsstk15 | 3952 | 3952 | 256 | 60882 | 247 | 1139 | 0.21 | 77.641556
HB | bcsstk16 | 4896 | 4896 | 256 | 147631 | 306 | 1618 | 0.36 | 95.801918
HB | bcsstk17 | 10976 | 10976 | 256 | 219812 | 686 | 2852 | 0.3 | 188.763779
HB | bcsstk18 | 11952 | 11952 | 256 | 80519 | 747 | 2684 | 0.12 | 177.843552
HB | bcsstk19 | 832 | 832 | 256 | 3835 | 52 | 102 | 0.15 | 12.480249
HB | bcsstk20 | 496 | 496 | 256 | 1810 | 31 | 60 | 0.12 | 9.740195
HB | bcsstk21 | 3600 | 3600 | 256 | 15100 | 225 | 667 | 0.09 | 44.300884
HB | bcsstk22 | 144 | 144 | 256 | 417 | 9 | 17 | 0.1 | 7.660153
HB | bcsstk23 | 3136 | 3136 | 256 | 24156 | 196 | 726 | 0.13 | 52.021042
HB | bcsstk24 | 3568 | 3568 | 256 | 81736 | 223 | 842 | 0.38 | 72.261444
HB | bcsstk25 | 15440 | 15440 | 256 | 133840 | 965 | 3447 | 0.15 | 204.124084
HB | bcsstk26 | 1936 | 1936 | 256 | 16129 | 121 | 369 | 0.17 | 27.680553
HB | bcsstk27 | 1232 | 1232 | 256 | 28675 | 77 | 289 | 0.39 | 25.440508
HB | bcsstk28 | 4416 | 4416 | 256 | 111717 | 276 | 1156 | 0.38 | 80.981621
HB | bcsstm01 | 48 | 48 | 256 | 48 | 3 | 3 | 0.06 | 9.620193
HB | bcsstm02 | 80 | 80 | 256 | 66 | 5 | 5 | 0.05 | 4.860097
HB | bcsstm03 | 112 | 112 | 256 | 112 | 7 | 7 | 0.06 | 6.840137
HB | bcsstm04 | 144 | 144 | 256 | 132 | 9 | 9 | 0.06 | 6.780136
HB | bcsstm05 | 160 | 160 | 256 | 153 | 10 | 10 | 0.06 | 6.460129
HB | bcsstm06 | 432 | 432 | 256 | 420 | 27 | 27 | 0.06 | 7.660153
HB | bcsstm07 | 432 | 432 | 256 | 3836 | 27 | 76 | 0.2 | 11.280226
HB | bcsstm08 | 1088 | 1088 | 256 | 1074 | 68 | 68 | 0.06 | 8.860177
HB | bcsstm09 | 1088 | 1088 | 256 | 1083 | 68 | 68 | 0.06 | 9.260185
HB | bcsstm10 | 1088 | 1088 | 256 | 11589 | 68 | 226 | 0.2 | 20.440409
HB | bcsstm11 | 1488 | 1488 | 256 | 1473 | 93 | 93 | 0.06 | 10.520210
HB | bcsstm12 | 1488 | 1488 | 256 | 10566 | 93 | 271 | 0.15 | 20.500410
HB | bcsstm13 | 2016 | 2016 | 256 | 11973 | 126 | 363 | 0.13 | 42.380848
HB | bcsstm19 | 832 | 832 | 256 | 817 | 52 | 52 | 0.06 | 8.840177
HB | bcsstm20 | 496 | 496 | 256 | 485 | 31 | 31 | 0.06 | 8.260165
HB | bcsstm21 | 3600 | 3600 | 256 | 3600 | 225 | 225 | 0.06 | 18.960379
HB | bcsstm22 | 144 | 144 | 256 | 138 | 9 | 9 | 0.06 | 6.820137
HB | bcsstm23 | 3136 | 3136 | 256 | 3134 | 196 | 196 | 0.06 | 16.880337
HB | bcsstm24 | 3568 | 3568 | 256 | 3562 | 223 | 223 | 0.06 | 18.980379
HB | bcsstm25 | 15440 | 15440 | 256 | 15439 | 965 | 965 | 0.06 | 62.381248
HB | bcsstm26 | 1936 | 1936 | 256 | 1922 | 121 | 121 | 0.06 | 12.620253
HB | bcsstm27 | 1232 | 1232 | 256 | 28675 | 77 | 289 | 0.39 | 24.420488
HB | beacxc | 512 | 512 | 256 | 50409 | 32 | 783 | 0.25 | 79.901596
HB | beaflw | 512 | 512 | 256 | 53403 | 32 | 801 | 0.26 | 81.861641
HB | beause | 512 | 512 | 256 | 44551 | 32 | 760 | 0.23 | 80.761612
HB | bp_0 | 832 | 832 | 256 | 3276 | 52 | 157 | 0.08 | 41.220825
HB | bp_1000 | 832 | 832 | 256 | 4661 | 52 | 189 | 0.1 | 46.440929
HB | bp_1200 | 832 | 832 | 256 | 4726 | 52 | 187 | 0.1 | 45.060902
HB | bp_1400 | 832 | 832 | 256 | 4790 | 52 | 192 | 0.1 | 45.200905
HB | bp_1600 | 832 | 832 | 256 | 4841 | 52 | 193 | 0.1 | 44.940899
HB | bp_200 | 832 | 832 | 256 | 3802 | 52 | 167 | 0.09 | 43.280865
HB | bp_400 | 832 | 832 | 256 | 4028 | 52 | 175 | 0.09 | 45.000900
HB | bp_600 | 832 | 832 | 256 | 4172 | 52 | 177 | 0.09 | 45.000900
HB | bp_800 | 832 | 832 | 256 | 4534 | 52 | 186 | 0.1 | 46.320927
HB | fs_183_1 | 192 | 192 | 256 | 1069 | 12 | 45 | 0.09 | 12.260245
HB | fs_183_3 | 192 | 192 | 256 | 1069 | 12 | 45 | 0.09 | 12.240245
HB | fs_183_4 | 192 | 192 | 256 | 1069 | 12 | 45 | 0.09 | 12.740254
HB | fs_183_6 | 192 | 192 | 256 | 1069 | 12 | 45 | 0.09 | 12.600252
HB | fs_541_1 | 544 | 544 | 256 | 4285 | 34 | 201 | 0.08 | 22.860456
HB | fs_541_2 | 544 | 544 | 256 | 4285 | 34 | 201 | 0.08 | 22.360447
HB | fs_541_3 | 544 | 544 | 256 | 4285 | 34 | 201 | 0.08 | 22.840456
HB | fs_541_4 | 544 | 544 | 256 | 4285 | 34 | 201 | 0.08 | 22.620453
HB | fs_680_1 | 688 | 688 | 256 | 2646 | 43 | 150 | 0.07 | 23.040461
HB | fs_680_2 | 688 | 688 | 256 | 2646 | 43 | 150 | 0.07 | 22.980459
HB | fs_680_3 | 688 | 688 | 256 | 2646 | 43 | 150 | 0.07 | 22.080442
HB | fs_760_1 | 768 | 768 | 256 | 5976 | 48 | 352 | 0.07 | 49.260986
HB | fs_760_2 | 768 | 768 | 256 | 5976 | 48 | 352 | 0.07 | 49.460991
HB | fs_760_3 | 768 | 768 | 256 | 5976 | 48 | 352 | 0.07 | 49.200985
HB | gemat1 | 4944 | 10608 | 256 | 47369 | 309 | 1694 | 0.11 | 217.864365
HB | gemat11 | 4944 | 4944 | 256 | 33185 | 309 | 990 | 0.13 | 64.801292
HB | gemat12 | 4944 | 4944 | 256 | 33111 | 309 | 992 | 0.13 | 65.881317
HB | gr_30_30 | 912 | 912 | 256 | 4322 | 57 | 166 | 0.1 | 16.440329
HB | gre_1107 | 1120 | 1120 | 256 | 5664 | 70 | 270 | 0.08 | 21.500429
HB | gre_115 | 128 | 128 | 256 | 421 | 8 | 23 | 0.07 | 8.680174
HB | gre_185 | 192 | 192 | 256 | 1005 | 12 | 45 | 0.09 | 9.900198
HB | gre_216a | 224 | 224 | 256 | 876 | 14 | 38 | 0.09 | 9.940199
HB | gre_216b | 224 | 224 | 256 | 876 | 14 | 38 | 0.09 | 10.160203
HB | gre_343 | 352 | 352 | 256 | 1435 | 22 | 65 | 0.09 | 10.880218
HB | gre_512 | 512 | 512 | 256 | 2192 | 32 | 108 | 0.08 | 15.180304
HB | hor_131 | 448 | 448 | 256 | 4710 | 28 | 142 | 0.13 | 20.360407
HB | illc1033 | 1040 | 320 | 256 | 4732 | 65 | 105 | 0.18 | 12.740254
HB | illc1850 | 1856 | 720 | 256 | 8758 | 116 | 205 | 0.17 | 19.400389
HB | impcol_a | 208 | 208 | 256 | 572 | 13 | 26 | 0.09 | 8.860177
HB | impcol_b | 64 | 64 | 256 | 312 | 4 | 7 | 0.17 | 6.460129
HB | impcol_c | 144 | 144 | 256 | 411 | 9 | 19 | 0.08 | 8.200164
HB | impcol_d | 432 | 432 | 256 | 1339 | 27 | 63 | 0.08 | 11.440228
HB | impcol_e | 240 | 240 | 256 | 1308 | 15 | 41 | 0.12 | 10.900218
HB | jpwh_991 | 992 | 992 | 256 | 6027 | 62 | 348 | 0.07 | 30.220604
HB | lns_131 | 144 | 144 | 256 | 536 | 9 | 23 | 0.09 | 8.920178
HB | lns_3937 | 3952 | 3952 | 256 | 25407 | 247 | 1211 | 0.08 | 94.201881
HB | lns_511 | 512 | 512 | 256 | 2796 | 32 | 118 | 0.09 | 18.540371
HB | lnsp3937 | 3952 | 3952 | 256 | 25407 | 247 | 872 | 0.11 | 56.441128
HB | lnsp_131 | 144 | 144 | 256 | 536 | 9 | 24 | 0.09 | 9.520190
HB | lnsp_511 | 512 | 512 | 256 | 2796 | 32 | 105 | 0.1 | 14.880298
HB | lund_a | 160 | 160 | 256 | 1298 | 10 | 25 | 0.2 | 8.620173
HB | lund_b | 160 | 160 | 256 | 1294 | 10 | 25 | 0.2 | 8.520170
HB | mahindas | 1264 | 1264 | 256 | 7682 | 79 | 258 | 0.12 | 33.580673
HB | mahindas_b | 1264 | 64 | 256 | 162 | 79 | 11 | 0.06 | 10.340207
HB | mbeacxc | 496 | 496 | 256 | 49920 | 31 | 752 | 0.26 | 79.461586
HB | mbeaflw | 496 | 496 | 256 | 49920 | 31 | 752 | 0.26 | 79.601593
HB | mbeause | 496 | 496 | 256 | 41063 | 31 | 711 | 0.23 | 77.981560
HB | mcca | 192 | 192 | 256 | 2659 | 12 | 38 | 0.27 | 10.320207
HB | mcfe | 768 | 768 | 256 | 24382 | 48 | 394 | 0.24 | 34.960701
HB | nnc1374 | 1376 | 1376 | 256 | 8606 | 86 | 264 | 0.13 | 21.500429
HB | nnc261 | 272 | 272 | 256 | 1500 | 17 | 48 | 0.12 | 12.280246
HB | nnc666 | 672 | 672 | 256 | 4044 | 42 | 128 | 0.12 | 13.760275
HB | nos1 | 240 | 240 | 256 | 627 | 15 | 29 | 0.08 | 14.880298
HB | nos2 | 960 | 960 | 256 | 2547 | 60 | 119 | 0.08 | 12.660254
HB | nos3 | 960 | 960 | 256 | 8402 | 60 | 176 | 0.19 | 16.660334
HB | nos4 | 112 | 112 | 256 | 347 | 7 | 12 | 0.11 | 7.560151
HB | nos5 | 480 | 480 | 256 | 2820 | 30 | 99 | 0.11 | 13.720274
HB | nos6 | 688 | 688 | 256 | 1965 | 43 | 110 | 0.07 | 12.660254
HB | nos7 | 736 | 736 | 256 | 2673 | 46 | 131 | 0.08 | 13.160263
HB | orani678 | 2544 | 2544 | 256 | 90158 | 159 | 1061 | 0.33 | 259.945190
HB | orani678_b | 2544 | 96 | 256 | 297 | 159 | 17 | 0.07 | 14.480289
HB | orsirr_1 | 1040 | 1040 | 256 | 6858 | 65 | 272 | 0.1 | 25.920519
HB | orsirr_2 | 896 | 896 | 256 | 5970 | 56 | 238 | 0.1 | 22.000441
HB | orsreg_1 | 2208 | 2208 | 256 | 14133 | 138 | 754 | 0.07 | 51.361027
HB | plat1919 | 1920 | 1920 | 256 | 17159 | 120 | 572 | 0.12 | 49.460991
HB | plat362 | 368 | 368 | 256 | 3074 | 23 | 84 | 0.14 | 12.180243
HB | plsk1919 | 1920 | 1920 | 256 | 4831 | 120 | 248 | 0.08 | 36.260727
HB | plskz362 | 368 | 368 | 256 | 880 | 23 | 42 | 0.08 | 10.580212
HB | pores_1 | 32 | 32 | 256 | 180 | 2 | 4 | 0.18 | 11.000220
HB | pores_2 | 1232 | 1232 | 256 | 9613 | 77 | 263 | 0.14 | 23.360468
HB | pores_3 | 544 | 544 | 256 | 3474 | 34 | 94 | 0.14 | 15.260305
HB | psmigr_1 | 3152 | 3152 | 256 | 543162 | 197 | 12432 | 0.17 | 535.230713
HB | psmigr_2 | 3152 | 3152 | 256 | 540022 | 197 | 12424 | 0.17 | 535.530701
HB | psmigr_3 | 3152 | 3152 | 256 | 543162 | 197 | 12432 | 0.17 | 536.470703
HB | saylr1 | 240 | 240 | 256 | 1128 | 15 | 43 | 0.1 | 12.320247
HB | saylr3 | 1008 | 1008 | 256 | 2375 | 63 | 131 | 0.07 | 15.000300
HB | saylr4 | 3568 | 3568 | 256 | 12940 | 223 | 791 | 0.06 | 51.361027
HB | sherman1 | 1008 | 1008 | 256 | 2375 | 63 | 131 | 0.07 | 15.100302
HB | sherman2 | 1088 | 1088 | 256 | 23094 | 68 | 387 | 0.23 | 30.340607
HB | sherman3 | 5008 | 5008 | 256 | 20033 | 313 | 1102 | 0.07 | 94.121880
HB | sherman4 | 1104 | 1104 | 256 | 3786 | 69 | 199 | 0.07 | 20.820415
HB | sherman5 | 3312 | 3312 | 256 | 20793 | 207 | 690 | 0.12 | 59.601192
HB | shl_0 | 672 | 672 | 256 | 1687 | 42 | 109 | 0.06 | 42.340847
HB | shl_200 | 672 | 672 | 256 | 1726 | 42 | 114 | 0.06 | 45.020901
HB | shl_400 | 672 | 672 | 256 | 1712 | 42 | 114 | 0.06 | 43.700874
HB | steam1 | 240 | 240 | 256 | 3762 | 15 | 67 | 0.22 | 12.740254
HB | steam2 | 608 | 608 | 256 | 13760 | 38 | 183 | 0.29 | 18.720375
HB | steam3 | 80 | 80 | 256 | 928 | 5 | 13 | 0.28 | 8.120162
HB | str_0 | 368 | 368 | 256 | 2454 | 23 | 63 | 0.15 | 10.520210
HB | str_200 | 368 | 368 | 256 | 3068 | 23 | 68 | 0.18 | 11.040221
HB | str_400 | 368 | 368 | 256 | 3157 | 23 | 69 | 0.18 | 10.340207
HB | str_600 | 368 | 368 | 256 | 3279 | 23 | 73 | 0.18 | 10.440208
HB | watt_1 | 1856 | 1856 | 256 | 11360 | 116 | 440 | 0.1 | 31.080622
HB | watt_2 | 1856 | 1856 | 256 | 11550 | 116 | 450 | 0.1 | 30.800615
HB | well1033 | 1040 | 320 | 256 | 4732 | 65 | 105 | 0.18 | 13.080261
HB | well1850 | 1856 | 720 | 256 | 8758 | 116 | 205 | 0.17 | 18.420368
HB | west0067 | 80 | 80 | 256 | 294 | 5 | 12 | 0.1 | 9.040181
HB | west0132 | 144 | 144 | 256 | 414 | 9 | 18 | 0.09 | 8.520170
HB | west0156 | 160 | 160 | 256 | 371 | 10 | 20 | 0.07 | 7.940159
HB | west0167 | 176 | 176 | 256 | 507 | 11 | 24 | 0.08 | 8.580172
HB | west0381 | 384 | 384 | 256 | 2157 | 24 | 106 | 0.08 | 30.480610
HB | west0479 | 480 | 480 | 256 | 1910 | 30 | 85 | 0.09 | 12.300246
HB | west0497 | 512 | 512 | 256 | 1727 | 32 | 79 | 0.09 | 11.760235
HB | west0655 | 656 | 656 | 256 | 2854 | 41 | 127 | 0.09 | 15.160303
