[2026-04-30 11:02:02] ColDense Individual Sample Performance
================================================================
Format: Category | Sample_Name | M | K | N | NNZ | WindowNum | BlockNum | FillRate | Performance(us)
================================================================
Gset | G10 | 800 | 800 | 128 | 19176 | 50 | 809 | 0.09 | 85.341705
Gset | G11 | 800 | 800 | 128 | 1600 | 50 | 97 | 0.06 | 11.340227
Gset | G12 | 800 | 800 | 128 | 1600 | 50 | 98 | 0.06 | 11.160223
Gset | G13 | 800 | 800 | 128 | 1600 | 50 | 95 | 0.07 | 11.520230
Gset | G18 | 800 | 800 | 128 | 4694 | 50 | 199 | 0.09 | 20.400408
Gset | G19 | 800 | 800 | 128 | 4661 | 50 | 195 | 0.09 | 17.400349
Gset | G20 | 800 | 800 | 128 | 4672 | 50 | 202 | 0.09 | 20.480410
Gset | G21 | 800 | 800 | 128 | 4667 | 50 | 194 | 0.09 | 18.980379
Gset | G27 | 2000 | 2000 | 128 | 19990 | 125 | 1191 | 0.07 | 121.842438
Gset | G28 | 2000 | 2000 | 128 | 19990 | 125 | 1202 | 0.06 | 125.622513
Gset | G29 | 2000 | 2000 | 128 | 19990 | 125 | 1197 | 0.07 | 121.642433
Gset | G30 | 2000 | 2000 | 128 | 19990 | 125 | 1196 | 0.07 | 119.542389
Gset | G31 | 2000 | 2000 | 128 | 19990 | 125 | 1193 | 0.07 | 122.662453
Gset | G32 | 2000 | 2000 | 128 | 4000 | 125 | 244 | 0.06 | 20.060402
Gset | G33 | 2000 | 2000 | 128 | 4000 | 125 | 247 | 0.06 | 20.000401
Gset | G34 | 2000 | 2000 | 128 | 4000 | 125 | 248 | 0.06 | 20.140404
Gset | G39 | 2000 | 2000 | 128 | 11778 | 125 | 526 | 0.09 | 38.100761
Gset | G40 | 2000 | 2000 | 128 | 11766 | 125 | 524 | 0.09 | 36.960739
Gset | G41 | 2000 | 2000 | 128 | 11785 | 125 | 525 | 0.09 | 39.100780
Gset | G42 | 2000 | 2000 | 128 | 11779 | 125 | 522 | 0.09 | 38.600773
Gset | G56 | 5008 | 5008 | 128 | 12498 | 313 | 764 | 0.06 | 104.922096
Gset | G57 | 5008 | 5008 | 128 | 10000 | 313 | 619 | 0.06 | 39.700794
Gset | G59 | 5008 | 5008 | 128 | 29570 | 313 | 1397 | 0.08 | 83.321663
Gset | G6 | 800 | 800 | 128 | 19176 | 50 | 804 | 0.09 | 81.921638
Gset | G61 | 7008 | 7008 | 128 | 17148 | 438 | 1040 | 0.06 | 146.982941
Gset | G62 | 7008 | 7008 | 128 | 14000 | 438 | 870 | 0.06 | 55.201103
Gset | G64 | 7008 | 7008 | 128 | 41459 | 438 | 1991 | 0.08 | 119.462387
Gset | G65 | 8000 | 8000 | 128 | 16000 | 500 | 991 | 0.06 | 60.721214
Gset | G66 | 9008 | 9008 | 128 | 18000 | 563 | 1117 | 0.06 | 68.681374
Gset | G67 | 10000 | 10000 | 128 | 20000 | 625 | 1240 | 0.06 | 74.041481
Gset | G7 | 800 | 800 | 128 | 19176 | 50 | 812 | 0.09 | 83.161667
Gset | G8 | 800 | 800 | 128 | 19176 | 50 | 803 | 0.09 | 82.981659
Gset | G9 | 800 | 800 | 128 | 19176 | 50 | 809 | 0.09 | 82.821655

[2026-04-30 11:42:37] ColDense Individual Sample Performance
================================================================
Format: Category | Sample_Name | M | K | N | NNZ | WindowNum | BlockNum | FillRate | Performance(us)
================================================================
HB | 1138_bus | 1152 | 1152 | 128 | 2596 | 72 | 143 | 0.07 | 12.500250
HB | 494_bus | 496 | 496 | 128 | 1080 | 31 | 63 | 0.07 | 9.740195
HB | 662_bus | 672 | 672 | 128 | 1568 | 42 | 87 | 0.07 | 10.300206
HB | 685_bus | 688 | 688 | 128 | 1967 | 43 | 90 | 0.09 | 11.400228
HB | arc130 | 144 | 144 | 128 | 1282 | 9 | 30 | 0.17 | 13.740274
HB | bcsstk01 | 48 | 48 | 128 | 224 | 3 | 6 | 0.15 | 10.460209
HB | bcsstk02 | 80 | 80 | 128 | 2211 | 5 | 15 | 0.58 | 9.960199
HB | bcsstk03 | 112 | 112 | 128 | 376 | 7 | 13 | 0.11 | 7.520150
HB | bcsstk04 | 144 | 144 | 128 | 1890 | 9 | 32 | 0.23 | 9.360188
HB | bcsstk05 | 160 | 160 | 128 | 1288 | 10 | 26 | 0.19 | 12.240245
HB | bcsstk06 | 432 | 432 | 128 | 4140 | 27 | 83 | 0.19 | 12.100242
HB | bcsstk07 | 432 | 432 | 128 | 4140 | 27 | 83 | 0.19 | 12.240245
HB | bcsstk08 | 1088 | 1088 | 128 | 7017 | 68 | 238 | 0.12 | 28.600573
HB | bcsstk09 | 1088 | 1088 | 128 | 9760 | 68 | 196 | 0.19 | 16.200323
HB | bcsstk10 | 1088 | 1088 | 128 | 11578 | 68 | 175 | 0.26 | 16.160324
HB | bcsstk11 | 1488 | 1488 | 128 | 17857 | 93 | 281 | 0.25 | 25.120502
HB | bcsstk12 | 1488 | 1488 | 128 | 17857 | 93 | 281 | 0.25 | 25.160503
HB | bcsstk13 | 2016 | 2016 | 128 | 42943 | 126 | 678 | 0.25 | 71.621429
HB | bcsstk14 | 1808 | 1808 | 128 | 32630 | 113 | 468 | 0.27 | 34.800697
HB | bcsstk15 | 3952 | 3952 | 128 | 60882 | 247 | 1116 | 0.21 | 78.921577
HB | bcsstk16 | 4896 | 4896 | 128 | 147631 | 306 | 1607 | 0.36 | 98.801979
HB | bcsstk17 | 10976 | 10976 | 128 | 219812 | 686 | 2833 | 0.3 | 185.463715
HB | bcsstk18 | 11952 | 11952 | 128 | 80519 | 747 | 2253 | 0.14 | 164.543289
HB | bcsstk19 | 832 | 832 | 128 | 3835 | 52 | 111 | 0.13 | 12.580252
HB | bcsstk20 | 496 | 496 | 128 | 1810 | 31 | 60 | 0.12 | 9.600192
HB | bcsstk21 | 3600 | 3600 | 128 | 15100 | 225 | 655 | 0.09 | 43.820877
HB | bcsstk22 | 144 | 144 | 128 | 417 | 9 | 17 | 0.1 | 6.880137
HB | bcsstk23 | 3136 | 3136 | 128 | 24156 | 196 | 716 | 0.13 | 59.241184
HB | bcsstk24 | 3568 | 3568 | 128 | 81736 | 223 | 840 | 0.38 | 60.401207
HB | bcsstk25 | 15440 | 15440 | 128 | 133840 | 965 | 3256 | 0.16 | 202.324051
HB | bcsstk26 | 1936 | 1936 | 128 | 16129 | 121 | 316 | 0.2 | 25.220505
HB | bcsstk27 | 1232 | 1232 | 128 | 28675 | 77 | 285 | 0.39 | 25.300507
HB | bcsstm01 | 48 | 48 | 128 | 48 | 3 | 3 | 0.06 | 9.620193
HB | bcsstm02 | 80 | 80 | 128 | 66 | 5 | 5 | 0.05 | 5.700114
HB | bcsstm03 | 112 | 112 | 128 | 112 | 7 | 7 | 0.06 | 5.500110
HB | bcsstm04 | 144 | 144 | 128 | 132 | 9 | 9 | 0.06 | 6.520131
HB | bcsstm05 | 160 | 160 | 128 | 153 | 10 | 10 | 0.06 | 6.660133
HB | bcsstm06 | 432 | 432 | 128 | 420 | 27 | 27 | 0.06 | 6.940139
HB | bcsstm07 | 432 | 432 | 128 | 3836 | 27 | 77 | 0.19 | 13.060261
HB | bcsstm08 | 1088 | 1088 | 128 | 1074 | 68 | 68 | 0.06 | 8.700174
HB | bcsstm09 | 1088 | 1088 | 128 | 1083 | 68 | 68 | 0.06 | 8.820176
HB | bcsstm10 | 1088 | 1088 | 128 | 11589 | 68 | 174 | 0.26 | 16.140324
HB | bcsstm11 | 1488 | 1488 | 128 | 1473 | 93 | 93 | 0.06 | 10.260205
HB | bcsstm12 | 1488 | 1488 | 128 | 10566 | 93 | 235 | 0.18 | 21.120422
HB | bcsstm13 | 2016 | 2016 | 128 | 11973 | 126 | 275 | 0.17 | 44.800896
HB | bcsstm19 | 832 | 832 | 128 | 817 | 52 | 52 | 0.06 | 8.540171
HB | bcsstm20 | 496 | 496 | 128 | 485 | 31 | 31 | 0.06 | 7.100142
HB | bcsstm21 | 3600 | 3600 | 128 | 3600 | 225 | 225 | 0.06 | 18.880377
HB | bcsstm22 | 144 | 144 | 128 | 138 | 9 | 9 | 0.06 | 7.140143
HB | bcsstm23 | 3136 | 3136 | 128 | 3134 | 196 | 196 | 0.06 | 17.380348
HB | bcsstm24 | 3568 | 3568 | 128 | 3562 | 223 | 223 | 0.06 | 18.200363
HB | bcsstm25 | 15440 | 15440 | 128 | 15439 | 965 | 965 | 0.06 | 62.281246
HB | bcsstm26 | 1936 | 1936 | 128 | 1922 | 121 | 121 | 0.06 | 7.800156
HB | bcsstm27 | 1232 | 1232 | 128 | 28675 | 77 | 285 | 0.39 | 24.240484
HB | beacxc | 512 | 512 | 128 | 50409 | 32 | 516 | 0.38 | 78.661575
HB | beaflw | 512 | 512 | 128 | 53403 | 32 | 524 | 0.4 | 67.241348
HB | beause | 512 | 512 | 128 | 44551 | 32 | 435 | 0.4 | 83.941681
HB | bp_0 | 832 | 832 | 128 | 3276 | 52 | 130 | 0.1 | 31.360628
HB | bp_1000 | 832 | 832 | 128 | 4661 | 52 | 150 | 0.12 | 35.520710
