[2026-04-27 14:45:17] | Category: Bai | Sample: bfwb782 | Dims(M,K,N,NNZ): 784,784,128,3382 | Perf: 13.460269 | Verify: SUCCESS

[2026-04-27 14:45:26] | Category: Bai | Sample: cdde6 | Dims(M,K,N,NNZ): 976,976,128,4681 | Perf: 16.080322 | Verify: SUCCESS

[2026-04-27 14:45:52] | Category: Bai | Sample: mhd4800a | Dims(M,K,N,NNZ): 4800,4800,128,102252 | Perf: 65.581314 | Verify: FAILED

[2026-04-27 14:46:08] | Category: Bai | Sample: rdb3200l | Dims(M,K,N,NNZ): 3200,3200,128,18880 | Perf: 47.120941 | Verify: SUCCESS

[2026-04-27 14:46:18] | Category: Gset | Sample: G10 | Dims(M,K,N,NNZ): 800,800,128,19176 | Perf: 47.760956 | Verify: SUCCESS

[2026-04-27 14:46:31] | Category: Gset | Sample: G31 | Dims(M,K,N,NNZ): 2000,2000,128,19990 | Perf: 69.121384 | Verify: SUCCESS

[2026-04-27 14:46:52] | Category: Gset | Sample: G59 | Dims(M,K,N,NNZ): 5008,5008,128,29570 | Perf: 79.021584 | Verify: SUCCESS

[2026-04-27 14:47:00] | Category: HB | Sample: bcsstk03 | Dims(M,K,N,NNZ): 112,112,128,376 | Perf: 7.080142 | Verify: SUCCESS

[2026-04-27 14:47:08] | Category: HB | Sample: bcsstk20 | Dims(M,K,N,NNZ): 496,496,128,1810 | Perf: 9.640193 | Verify: SUCCESS

[2026-04-27 14:47:17] | Category: HB | Sample: bp_1600 | Dims(M,K,N,NNZ): 832,832,128,4841 | Perf: 14.120282 | Verify: SUCCESS

[2026-04-27 14:47:27] | Category: HB | Sample: illc1033 | Dims(M,K,N,NNZ): 1040,320,128,4732 | Perf: 15.920319 | Verify: SUCCESS

[2026-04-27 14:47:34] | Category: HB | Sample: west0156 | Dims(M,K,N,NNZ): 160,160,128,371 | Perf: 6.660133 | Verify: SUCCESS

[2026-04-27 14:47:52] | Category: JGD | Sample: ch7-6-b2 | Dims(M,K,N,NNZ): 4208,640,128,12600 | Perf: 37.920757 | Verify: SUCCESS

[2026-04-27 14:47:59] | Category: JGD | Sample: cis-n4c6-b1 | Dims(M,K,N,NNZ): 224,32,128,420 | Perf: 9.480189 | Verify: SUCCESS

[2026-04-27 14:50:27] | Category: JGD | Sample: mk12-b3 | Dims(M,K,N,NNZ): 51984,13872,128,207900 | Perf: 264.705292 | Verify: SUCCESS

[2026-04-27 14:50:35] | Category: Pajek | Sample: GD97_c | Dims(M,K,N,NNZ): 464,464,128,460 | Perf: 8.400168 | Verify: SUCCESS

[2026-04-27 14:51:11] | Category: Pajek | Sample: Reuters911_Day_16 | Dims(M,K,N,NNZ): 13344,13344,128,4893 | Perf: 31.660633 | Verify: SUCCESS

[2026-04-27 14:51:30] | Category: VDOL | Sample: dynamicSoaringProblem_6 | Dims(M,K,N,NNZ): 3440,3440,128,19335 | Perf: 32.520649 | Verify: SUCCESS

[2026-04-27 14:51:50] | Category: VDOL | Sample: freeFlyingRobot_10 | Dims(M,K,N,NNZ): 5232,5232,128,21604 | Perf: 47.240944 | Verify: SUCCESS

[2026-04-27 14:52:20] | Category: VDOL | Sample: kineticBatchReactor_6 | Dims(M,K,N,NNZ): 7776,7776,128,43280 | Perf: 99.121979 | Verify: SUCCESS

[2026-04-27 14:54:06] | Category: VDOL | Sample: lowThrust_12 | Dims(M,K,N,NNZ): 18464,18464,128,117423 | Perf: 181.763641 | Verify: SUCCESS

[2026-05-01 20:15:21] | Category: Bai | Sample: af23560 | Dims(M,K,N,NNZ): 23568,23568,128,484256 | Perf: 272.185455 | Verify: FAILED
[2026-05-01 20:15:30] | Category: Bai | Sample: bfwa398 | Dims(M,K,N,NNZ): 400,400,128,3678 | Perf: 10.280206 | Verify: SUCCESS
[2026-05-01 20:15:37] | Category: Bai | Sample: bfwa62 | Dims(M,K,N,NNZ): 64,64,128,450 | Perf: 6.940139 | Verify: SUCCESS
[2026-05-01 20:15:48] | Category: Bai | Sample: bfwa782 | Dims(M,K,N,NNZ): 784,784,128,7514 | Perf: 15.940319 | Verify: SUCCESS
